store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,price,special_price,weight,msrp,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,custom_design,size,website,_media_image,_media_lable,_media_position,_media_is_disabled,color
admin,base,Default,simple,6,vh1,0,Những cánh cửa sổ đều mở,,,/n/x/nxbtre_full_11212017_092104.u5426.d20170712.t104443.599851_2.jpg,/n/x/nxbtre_full_11212017_092104.u5426.d20170712.t104443.599851_2.jpg,/n/x/nxbtre_full_11212017_092104.u5426.d20170712.t104443.599851_2.jpg,nh-ng-canh-c-a-s-d-u-m,nh-ng-canh-c-a-s-d-u-m.html,No layout updates,Product Info Column,,,,Việt Nam,Use config,Use config,No,50000,45000,100,,Enabled,No,"Catalog, Search",None,<p>T&aacute;c giả: Tiểu Quỳ</p>,<p>T&aacute;c giả: Tiểu Quỳ</p>,,,9/29/2017 0:00,,9/29/2017 0:00,5/10/2017 0:00,,,1000,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,Những cánh cửa sổ đều mở,0,simple,,,,,,,,,,
admin,base,Default,simple,"6,11",vh2,0,"Vấp, Nhưng Đừng Ngã",,,/8/9/8935251406399_2_1.png,/8/9/8935251406399_2_1.png,/8/9/8935251406399_2_1.png,vap-nhung-dung-nga,vap-nhung-dung-nga.html,No layout updates,Product Info Column,,,,Việt Nam,Use config,Use config,No,40000,35000,100,,Enabled,No,"Catalog, Search",None,"<p>Bằng kinh nghiệm của một người đã trải qua nhiều năm kinh doanh, tác giả nói về những khó khăn m  những người khởi nghiệp thường gặp phải. Qua từng chương sách, tác giả dẫn dắt từ những ng y đầu như lên ý tưởng kinh doanh, tìm các đồng sáng lập, tìm kiếm khách h ng đến khi việc kinh doanh gặp những vấn đề không của riêng ai: Bất đồng giữa các sáng lập viên, công ty không được thị trường đón nhận, kinh doanh đã lâu m  chưa tìm được điểm hòa vốn, thiếu kinh phí,... Những chương cuối tác giả tập trung nhìn v o các vấn đề con người như mất niềm tin, không còn năng lượng để tiếp tục, ho i nghi v o chiến lược mình đã lựa chọn,

Ở Vấp, nhưng đừng ngã tác giả tập trung v o khía cạnh con người trong bối cảnh khởi sự kinh doanh. Tác giả tiếp cận trực tiếp v o vấn đề, nói lên những khó khăn, đôi khi có phần không lối thoát bằng một giọng văn h i hước, khiến những khó khăn ấy chỉ như những cú sa chân vấp.  Những cú vấp ấy không đáng sợ, bởi khi đã chấp nhận khởi nghiệp thì mỗi người đều phải chấp nhận thử sai v  sai rất nhiều lần trước khi đạt được th nh tựu.

Tác giả tự nhận mình nghĩ sao viết vậy nên có thể đôi chỗ độc giả thấy sao người n y xuề xòa vậy, nhưng đấy l  dụng ý riêng, bởi anh muốn nhìn thật  nói thật. Bởi anh không có tham vọng đưa ra một cẩm nang khởi nghiệp m  muốn mỗi người, sắp, đang hay đã khởi sự kinh doanh sẽ tìm thấy một phần của mình trong đó.</p>","<p>Cuốn sách Vấp, Nhưng Đừng Ngã của tác giả Vũ Thái H  sẽ đem đến những b i học về cuộc sống cũng như tiếp thêm nguồn động lực giúp ta vượt qua những thử thách trong cuộc sống..</p>",,,9/29/2017 0:00,,9/29/2017 0:00,5/10/2017 0:00,,,1000,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,"Vấp, Nhưng Đừng Ngã",0,simple,,,,,,,,,,
admin,base,Default,simple,"6,11",vh3,0,Nghệ Thuật Bán Mình Cho Sếp,,,/n/g/nghe_thuat_ban_minh_cho_sep_outline_13.7.2017-02_9.jpg,/n/g/nghe_thuat_ban_minh_cho_sep_outline_13.7.2017-02_9.jpg,/n/g/nghe_thuat_ban_minh_cho_sep_outline_13.7.2017-02_9.jpg,nghe-thuat-ban-minh-cho-sep,nghe-thuat-ban-minh-cho-sep.html,No layout updates,Product Info Column,,,,Việt Nam,Use config,Use config,No,80000,75000,100,,Enabled,No,"Catalog, Search",None,"<p>Nghệ Thuật Bán Mình Cho Sếp

Nếu đang đi tìm việc, bạn phải thuyết phục được người chủ rằng họ sẽ thu được lợi ích từ bạn, rằng bạn sẽ là nhân tố không thể thiếu trong doanh nghiệp của họ, rằng bạn có các tố chất đáng ghi điểm. Nói cách khác, họ phải thấy chính bản thân bạn đã là một thành công của họ.

Được viết bởi tác giả truyền cảm hứng số 1 thế giới Orison Swett Marden, cuốn sách Nghệ thuật bán mình cho sếp mang đến cái nhìn về những gì mà người chủ tìm kiếm trong một nhân viên, đồng thời đưa ra những phương thức để giúp bạn hoàn thành công việc một cách tốt nhất, trở nên nổi bật, được người chủ để mắt và thành công trong sự nghiệp.

Hãy biến mỗi việc bạn làm thành một kiệt tác!</p>",<p>Tác giả: Orison Swett Marden</p>,,,9/29/2017 0:00,,11/20/2017 0:00,5/10/2018 0:00,,,1000,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,Nghệ Thuật Bán Mình Cho Sếp,0,simple,,,,,,,,,,
admin,base,Default,simple,"6,11",vh4,0,Tôi Biết Ơn & Tôi Giàu Có,,,/9/7/9786045866986_8.jpg,/9/7/9786045866986_8.jpg,/9/7/9786045866986_8.jpg,toi-biet-on-vi-toi-giau-co,toi-biet-on-vi-toi-giau-co.html,No layout updates,Product Info Column,,,,Việt Nam,Use config,Use config,No,80000,75000,100,,Enabled,No,"Catalog, Search",None,"<p>Tôi Biết Ơn & Tôi Giàu Có

Tôi biết ơn & tôi giàu có là cuốn sách dành cho bất cứ ai quan tâm đến việc tìm kiếm, bắt sóng và kết nối với nguồn năng lượng huyền vi và vô tận của Vũ trụ. Cuốn sách này còn cho độc giả biết thêm nhiều khía cạnh mới mẻ về sự sung túc và viên mãn cũng như cách thức để phát triển nguồn vốn sáng tạo, vốn xã hội, vốn tinh thần và rất, rất nhiều tài sản tinh thần quý giá khác trong đời bạn.

 
 Chúng ta ở đây vào thời điểm đặc biệt này trên Trái Đất là để mở mang vũ trụ chứ không phải để chiến thắng một giải thưởng hàn lâm nào cả. Chúng ta không phải dùng tài năng của mình để vượt lên và đánh bại bất kỳ ai, cũng không phải để chịu đựng những đau khổ hay giằng xé niềm tin vinh quang rồi sẽ đến sau cơn bĩ cực.
 
 Cuộc sống hàng ngày chính là ngôi đền thiêng liêng để bạn đạt được sự thanh tĩnh, sự hài lòng và rung động thần thánh, cũng như ""lấy ra"" niềm hạnh phúc đích thực.
 
 Một trong những cách tốt nhất mà chúng ta có thể phụng sự người lữ hành trong chính mình, là hình dung ra cách làm cho bản thân biết mãn nguyện và sung sướng. Bạn hãy giúp người khác biết rằng có thể tự làm cho bản thân vui sướng mới là điều tốt đẹp nhất.</p>",<p>T&aacute;c giả: Pam Grout</p>,,,9/29/2017 0:00,,11/20/2017 0:00,5/10/2018 0:00,,,1000,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,Tôi Biết Ơn & Tôi Giàu Có,0,simple,,,,,,,,,,
admin,base,Default,simple,"6,11",vh5,0,Làm Chủ Giao Tiếp Để Thành Công,,,/8/9/8936066684835_1_3.jpg,/8/9/8936066684835_1_3.jpg,/8/9/8936066684835_1_3.jpg,lam-chu-giao-tiep-de-thanh-cong,lam-chu-giao-tiep-de-thanh-cong.html,No layout updates,Product Info Column,,,,Việt Nam,Use config,Use config,No,60000,,100,,Enabled,No,"Catalog, Search",None,"Làm Chủ Giao Tiếp Để Thành Công

Giao tiếp là việc hằng ngày ai cũng phải làm, nhưng lại rất ít người trong chúng ta chịu đặt ra câu hỏi: Giao tiếp như thế nào cho hiệu quả?. Vì không chịu nâng cao kỹ năng đối thoại, chúng ta rất dễ thụ động trong các tình huống xã hội. VD: Khi bạn kể chuyện, người nghe dù rất chăm chú vẫn không hiểu bạn muốn nói gì. Nếu phải đứng trước đám đông phát biểu, bạn sẽ lúng túng như gà mắc tóc. Bạn rất tự tin khi gặp gỡ nhà tuyển dụng, nhưng cuối cùng lại không gây được ấn tượng nào với họ           

Việc đặt ra những câu hỏi như Phải dùng giọng điệu thế nào cho hay?, Không nên nói điều gì để tránh gây nhàm chán chỉ mất thêm của bạn khoảng vài phút trước cuộc hội thoại nhưng lại tạo ra hiệu quả hoàn toàn khác biệt. Nếu muốn tiến bộ, hãy học hỏi và luyện tập từ những điều nhỏ nhất.

Cuốn sách Làm chủ giao tiếp để thành công của Satoshi Noguchi sẽ giúp bạn tìm ra các vấn đề để cải thiện kỹ năng giao tiếp và cung cấp các kỹ thuật nhằm giải quyết các vấn đề đó. Bên cạnh các lời khuyên, tác giả cũng liên tục đưa ra những ví dụ cụ thể, thực tế trong cuộc sống để độc giả dễ dàng tham khảo và áp dụng. Hãy nhớ rằng, mọi rào cản khó khăn trong khi trò chuyện đều có thể được phá vỡ. Ngưng trì hoãn, bắt đầu thay đổi và thực hành ngay hôm nay, bạn sẽ trở nên tự tin hơn rất nhiều trong lần tiếp theo phải xử lý các tình huống tương tác ngoài xã hội.",<p>T&aacute;c giả: Satoshi Noguchi </p><p>Người dịch: Hoàng Linh</p>,,,9/29/2017 0:00,,11/20/2017 0:00,5/10/2018 0:00,,,1000,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,Làm Chủ Giao Tiếp Để Thành Công,0,simple,,,,,,,,,,
admin,base,T-shirt,configurable,"25,27",tt1,1,áo thun,,,,,,ao-thun,ao-thun.html,No layout updates,Product Info Column,,,, ,Use config,Use config,No,50000,,,,Enabled,,"Catalog, Search",None,abc,abc,,,,,10/8/2017 0:00,10/29/2017 0:00,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,áo thun,0,configurable,,,,,,,,,,
admin,base,T-shirt,simple,,tt1-small,0,áo thun-small,,,,,,ao-thun-small,ao-thun-small.html,No layout updates,Product Info Column,,,, ,Use config,Use config,No,80000,,500,,Enabled,No,Not Visible Individually,None,abc,abc,,,,,10/8/2017 0:00,10/29/2017 0:00,,,200,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,áo thun-small,0,simple,,,,small,,,,,,
admin,base,Default,grouped,,gr1,0,edf,,,,,,edf,edf.html,No layout updates,Product Info Column,,,, ,,,No,,,,,Enabled,,"Catalog, Search",,edf,edf,,,,,10/8/2017 0:00,10/29/2017 0:00,,,0,0,1,0,0,1,1,1,0,1,0,,,1,0,1,0,1,0,1,0,0,0,1,edf,0,grouped,,,,,,,,,,
admin,base,Default,simple,"6,16",vh6,0,Bật Đèn Soi Bí Mật - Trên Trạm Vũ Trụ,,,/9/7/9786042091848_2.jpg,/9/7/9786042091848_2.jpg,/9/7/9786042091848_2.jpg,bat-den-soi-bi-mat-tren-tren-tram-vu-tru,bat-den-soi-bi-mat-tren-tren-tram-vu-tru.html,No layout updates,Product Info Column,,,,Việt Nam,Use config,Use config,No,60000,,100,,Enabled,No,"Catalog, Search",None,a,"tac gia: Carron Brown, Bee Johnson",,,9/29/2017 0:00,,11/20/2017 0:00,5/10/2018 0:00,,,1000,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,Bật Đèn Soi Bí Mật - Trên Trạm Vũ Trụ,0,simple,,,,,,,,,,
admin,base,Default,simple,"6,16",vh7,0,Bật Đèn Soi Bí Mật - Ngoài Công Trường,,,/9/7/9786042091879_2.jpg,/9/7/9786042091879_2.jpg,/9/7/9786042091879_2.jpg,bat-den-soi-bi-mat-bi-mat-cua-cay-tao,bat-den-soi-bi-mat-bi-mat-cua-cay-tao.html,No layout updates,Product Info Column,,,,Việt Nam,Use config,Use config,No,60000,,100,,Enabled,No,"Catalog, Search",None,"
Bật Đèn Soi Bí Mật - Ngoài Công Trường

Những trang sách có thể nhìn xuyên thấu trong cuốn sách tranh được minh họa tuyệt đẹp về các sự vật thực tế đem lại những trải nghiệm tương tự giống như các cuốn sách lật giở trước đó, nhưng ""Bật đèn soi bí mật"" mở rộng sự tương tác với các bé, giúp các em có thể nhìn thấy những thứ nổi bật trên bề mặt và được ẩn giấu cùng lúc trong mỗi bức tranh.

Là một món quà về cả mặt hình ảnh lẫn niềm vui dành cho trẻ em, ""Bật đèn soi bí mật"" là một sự lựa chọn lí tưởng cho các phụ huynh cùng đọc sách và chơi đùa với con.

Trong cuốn “Bật đèn soi bí mật: Ngoài Công Trường”: Chúng ta có thể thấy gì trên các công trường xây dựng ngày nay?

Hãy soi đèn vào phía sau trang sách và cùng xem nhé...

Từ người lái cẩu ngồi trên buồng lái và những kĩ sư đang đào bới sâu trong lòng đất tới những chiếc máy ủi và tất cả những loại máy móc khác... mỗi lần lật sang trang sách mới, em sẽ thấy những hình ảnh khác nhau của một công trường xây dựng bận rộn.
","tac gia: Carron Brown, Bee Johnson",,,9/29/2017 0:00,,11/20/2017 0:00,5/10/2018 0:00,,,1000,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,Bật Đèn Soi Bí Mật - Ngoài Công Trường,0,simple,,,,,,,,,,
admin,base,Default,simple,"6,16",vh8,0,Bật Đèn Soi Bí Mật - Bí Mật Của Cây Táo,,,/9/7/9786042091831_2.jpg,/9/7/9786042091831_2.jpg,/9/7/9786042091831_2.jpg,bat-den-soi-bi-mat-tren-ngoai-cong-truong,bat-den-soi-bi-mat-tren-ngoai-cong-truong.html,No layout updates,Product Info Column,,,,Việt Nam,Use config,Use config,No,60000,,100,,Enabled,No,"Catalog, Search",None,"

Bật Đèn Soi Bí Mật - Bí Mật Của Cây Táo

Những trang sách có thể nhìn xuyên thấu trong cuốn sách tranh được minh họa tuyệt đẹp về các sự vật thực tế đem lại những trải nghiệm tương tự giống như các cuốn sách lật giở trước đó, nhưng ""Bật đèn soi bí mật"" mở rộng sự tương tác với các bé, giúp các em có thể nhìn thấy những thứ nổi bật trên bề mặt và được ẩn giấu cùng lúc trong mỗi bức tranh.

Là một món quà về cả mặt hình ảnh lẫn niềm vui dành cho trẻ em, ""Bật đèn soi bí mật"" là một sự lựa chọn lí tưởng cho các phụ huynh cùng đọc sách và chơi đùa với con.

Trong cuốn “Bật đèn soi bí mật: Bí Mật Của Cây Táo”: Những sinh vật nào sống xung quanh một cây táo?

Hãy soi đèn vào phía sau trang sách và cùng xem nhé… Hãy quan sát kĩ một cái cây, em sẽ phát hiện ra một thế giới nhỏ đầy những bất ngờ!

Từ những con giun đất bò quanh rễ cây đến những chú chim làm tổ trên cành cao, nhiều điều thú vị tiềm ẩn trong thế giới đông đúc này sẽ dần hé mở.
","tac gia: Carron Brown, Bee Johnson",,,9/29/2017 0:00,,11/20/2017 0:00,5/10/2018 0:00,,,1000,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,Bật Đèn Soi Bí Mật - Bí Mật Của Cây Táo,0,simple,,,,,,,,,,
admin,base,Default,simple,"6,20",vh9,0,Here We Go - Cứ Mơ Và  Cứ Đi ,,,/h/e/here-we-go---bia-2d--1-.u4939.d20170705.t141025.564217_1.jpg,/h/e/here-we-go---bia-2d--1-.u4939.d20170705.t141025.564217_1.jpg,/h/e/here-we-go---bia-2d--1-.u4939.d20170705.t141025.564217_1.jpg,here-we-go,here-we-go.html,No layout updates,Product Info Column,,,,Việt Nam,Use config,Use config,No,120000,110000,100,,Enabled,No,"Catalog, Search",None,"Here We Go - Cứ Mơ Và Cứ Đi khởi đầu bằng những miền đất ở Việt Nam. Đó là những nơi có thể bạn đã từng đi mòn dấu chân, cũng có cả những vùng đất mới bạn còn háo hức tìm hiểu. Những chuyến chu du lên rừng xuống biển đưa bạn đi hết từ ngạc nhiên này đến bất ngờ khác, biên độ dao động từ đẹp đến đẹp… phi thường. Những rung cảm từ trái tim trước một góc xinh xắn ở Hội An mà bạn chưa mày mò ra kịp, cho đến cảm giác nghẹt thở rồi đưa tay lên chạm vào bức ảnh chụp một con đèo đẹp đến lặng người ở miền Tây Bắc. Muôn vàn khung cảnh nơi dải đất hình chữ S tuyệt đẹp đã sẵn sàng để chờ bạn khám phá trong phần đầu tiên của cuốn sách này.

Rong ruổi qua một Việt Nam tươi đẹp, cuốn sách sẽ tiếp tục đưa độc giả bước ra ngoài thế giới. Nơi chúng ta có thể đi xuyên qua những màn mây lãng đãng nhuốm mùi ban sớm ở một đất nước Đông Nam Á huyền bí, hay cùng lần giờ trang sách để ngắm nghía những mùa hoa và miền quê nước Nhật, tiếp tục hít hà mùi sách và tưởng tượng ra ta đang đứng giữa một buổi hoàng hôn lộng lẫy nên trời Âu và cuối cùng, cảm nhận cái thế giới sống động, ồn ã của New York Hoa Lệ.

Tất cả những trải nghiệm trong cuốn sách này đều là những hành trình đích thực đã được các thí sinh của cuộc thi HERE WE GO - mùa thứ nhất ghi lại và được Kenh14.vn tuyển tập thành Here We Go - Cứ Mơ Và Cứ Đi - một cuốn sách của cảm hứng và tuổi trẻ. Thế giới rộng lớn ngoài kia và mỗi chúng ta lại nhỏ bé biết bao, còn quá nhiều cảnh đẹp và sự vĩ đại đang chờ chúng ta tìm đến và tận hưởng. “Hãy cứ mơ và cứ đi!” vì cả thế giới bao la ngoài kia đang chờ đợi bạn và tuổi trẻ thì chỉ có một lần duy nhất!

